cond,treat,tp,field,n_auto,n_katja,auto_mean,katja_mean,bias,ratio
IQ2 3d,IQ2,3d,1,24,13,24.8,37.6,-12.8,0.659
IQ2 3d,IQ2,3d,2,17,14,27.7,27.9,-0.2,0.991
IQ2 3d,IQ2,3d,3,23,22,34.7,32.3,2.4,1.075
IQ2 3d,IQ2,3d,4,27,16,21.2,30.1,-9.0,0.703
IQ2 3d,IQ2,3d,5,22,13,22.1,45.5,-23.4,0.485
IQ2 5d,IQ2,5d,1,17,10,35.4,40.7,-5.3,0.871
IQ2 5d,IQ2,5d,2,9,6,60.9,83.3,-22.5,0.73
IQ2 5d,IQ2,5d,3,24,17,23.6,23.9,-0.4,0.984
IQ2 5d,IQ2,5d,4,10,8,31.2,48.9,-17.7,0.638
IQ2 5d,IQ2,5d,5,17,14,26.8,38.9,-12.0,0.69
IQ3 3d,IQ3,3d,1,14,9,59.2,36.9,22.4,1.606
IQ3 3d,IQ3,3d,2,12,11,29.6,28.8,0.8,1.028
IQ3 3d,IQ3,3d,3,35,12,16.7,29.4,-12.7,0.567
IQ3 3d,IQ3,3d,4,30,9,25.8,43.2,-17.5,0.596
IQ3 3d,IQ3,3d,5,2,13,51.7,40.5,11.2,1.277
IQ3 5d,IQ3,5d,2,10,10,32.2,28.1,4.1,1.145
IQ3 5d,IQ3,5d,3,14,12,35.5,30.1,5.4,1.181
IQ3 5d,IQ3,5d,4,10,10,19.0,28.4,-9.4,0.669
IQ3 5d,IQ3,5d,5,3,6,32.6,34.2,-1.5,0.955
NC 3d,NC,3d,1,114,10,19.4,21.2,-1.8,0.915
NC 3d,NC,3d,2,118,13,20.6,26.1,-5.4,0.791
NC 3d,NC,3d,3,120,14,21.1,22.3,-1.2,0.948
NC 3d,NC,3d,4,128,15,18.7,21.5,-2.9,0.867
NC 3d,NC,3d,5,124,13,18.1,18.4,-0.3,0.983
NC 5d,NC,5d,1,14,15,34.9,25.1,9.8,1.392
NC 5d,NC,5d,2,26,19,28.8,23.2,5.6,1.242
NC 5d,NC,5d,3,4,13,48.3,47.6,0.6,1.014
NC 5d,NC,5d,4,11,6,46.7,52.7,-6.0,0.886
NC 5d,NC,5d,5,15,17,36.0,32.9,3.0,1.092
mi133 3d,mi133,3d,2,42,14,19.3,21.1,-1.8,0.916
mi133 3d,mi133,3d,3,23,15,18.2,23.5,-5.3,0.775
mi133 3d,mi133,3d,4,83,15,17.2,23.8,-6.6,0.724
mi133 3d,mi133,3d,5,25,16,17.7,24.4,-6.7,0.725
mi133 3d,mi133,3d,6,37,22,15.9,19.8,-3.9,0.803
mi133 5d,mi133,5d,1,8,11,29.2,44.6,-15.4,0.655
mi133 5d,mi133,5d,2,30,14,34.4,50.7,-16.3,0.679
mi133 5d,mi133,5d,3,14,14,35.4,40.1,-4.6,0.884
mi133 5d,mi133,5d,4,24,15,26.3,22.6,3.7,1.164
mi133 5d,mi133,5d,5,14,3,40.9,194.0,-153.1,0.211
mi142 3d,mi142,3d,1,122,9,14.3,22.2,-7.9,0.644
mi142 3d,mi142,3d,2,140,6,15.2,17.8,-2.7,0.85
mi142 3d,mi142,3d,3,127,10,16.2,17.6,-1.4,0.918
mi142 3d,mi142,3d,4,101,15,16.9,20.7,-3.8,0.816
mi142 3d,mi142,3d,5,135,10,14.8,19.3,-4.5,0.767
mi142 5d,mi142,5d,1,7,8,24.4,19.6,4.7,1.241
mi142 5d,mi142,5d,2,5,13,23.3,19.9,3.3,1.167
mi142 5d,mi142,5d,3,14,17,36.2,28.4,7.9,1.278
mi142 5d,mi142,5d,4,2,12,34.5,20.2,14.3,1.709
mi142 5d,mi142,5d,5,4,9,15.5,22.3,-6.9,0.693
scrambled 3d,scrambled,3d,1,22,17,33.1,27.4,5.7,1.207
scrambled 3d,scrambled,3d,2,58,18,16.6,20.1,-3.5,0.826
scrambled 3d,scrambled,3d,3,82,14,19.7,24.1,-4.3,0.82
scrambled 3d,scrambled,3d,4,103,11,18.0,21.7,-3.7,0.828
scrambled 3d,scrambled,3d,5,20,15,25.7,24.8,0.9,1.035
scrambled 5d,scrambled,5d,1,15,18,34.6,44.2,-9.6,0.782
scrambled 5d,scrambled,5d,2,19,20,23.9,25.6,-1.7,0.933
scrambled 5d,scrambled,5d,3,24,25,24.2,22.6,1.6,1.071
scrambled 5d,scrambled,5d,4,13,14,30.5,29.1,1.4,1.049
scrambled 5d,scrambled,5d,5,17,15,33.9,28.0,5.9,1.209
